Organizations:,Meeting Time:,Meeting Location:,Description:,Social Media:,Other Links:,,,
Active Minds,,,"Our purpose is to promote mental health awareness and reduce the stigma surrounding mental illness. Through advocacy, education, and open conversations, we strive to create a supportive campus environment where all students feel empowered to prioritize their mental well-being and seek help when needed.",,,,,
Alpha Delta Pi,,,"At Alpha Delta Pi, we are a sisterhood of friends, a family of individuals, and a home away from home. We embrace every woman's uniqueness, we encourage and support each other's goals and dreams, and we value character above all else. Founded in 1851 at Wesleyan Female College in Macon, Georgia, Alpha Delta Pi was the first secret society for women.",https://www.instagram.com/southwestern_adpi/,https://southwestern.alphadeltapi.org/,,,https://www.southwestern.edu/life-at-southwestern/student-organizations/fraternity-and-sorority-life/sororities-at-su/alpha-delta-pi/
Alpha Kappa Alpha,,,"Established in 1908, Alpha Kappa Alpha, Incorporated® was the first sorority created for African-American women. The Sorority is a Multicultural Sorority dedicated to creating a college experience that is meaningful and productive. Alpha Kappa Alpha, Incorporated® participates in programs both on campus and off, including major fundraisers, such as “One Million Backpacks” and “Change for Change.” The organization is also known for cross-cultural collaboration with other campus organizations and for promoting diversity and community service at Southwestern University.",https://www.instagram.com/upsilonalpha.aka/,https://www.southwestern.edu/life-at-southwestern/student-organizations/fraternity-and-sorority-life/sororities-at-su/alpha-kappa-alpha-inc/,,,
Alpha Phi Omega,"Thursday, 6:00 pm",Olin 110,"Our purpose is to develop leadership, promote friendship and provide service to humanity. Alpha Phi Omega is a gender-inclusive brotherhood with events giving back to the community, developing leadership skills, and building friendships.  Alpha Phi Omega is a national service fraternity celebrating 100 years of uniting members through friendship and service to all.",https://www.instagram.com/southwestern.apo/,,,,
Alpha Xi Delta,,,"Alpha Xi Delta is a progressive organization dedicated to the personal growth of women. Through membership in Alpha Xi Delta, members are inspired to realize their potential through the ideals their founders instilled: sisterhood, leadership, knowledge, and service to our communities.",https://www.instagram.com/explore/locations/571372014/alpha-xi-delta-at-southwestern-university/,https://www.southwestern.edu/life-at-southwestern/student-organizations/fraternity-and-sorority-life/sororities-at-su/alpha-xi-delta/,,,https://southwestern.alphaxidelta.org/
American Chemical Society,"Wednesday, 5:00 pm",FJS 402,"The chemists of the American Chemical Society at Southwestern University aim to form a more perfect representation of the Chemistry department by promoting opportunities for students, engaging in thoughtful discussion, and integrating chemistry into fun activities.",https://www.instagram.com/acs_southwestern/,,,,
American Medical Student Association,,,"Our purpose is to inspire, inform, and support future physicians. Our chapter provides opportunities for students to explore medicine through guest speakers, networking, volunteering, research, and shadowing experiences. We strive to create a community of passionate, service-driven students preparing for careers in healthcare.",,,,,
American Medical Women's Association,,,"Our purpose is to advance women in medicine, advocate for equity in healthcare, and improve the health of women and their communities. Through leadership development, mentorship, education, and policy engagement, AMWA empowers women healthcare workers at every stage of their careers.",,,,,
Asian Student Association,,,"Asian Student Association works to revive and maintain campus-wide interest, activity and exploration within the distinctive cultures of Asia and to provide a space to support Asian/Pacific Islander/Desi American Students.",https://www.instagram.com/southwestern.asa/,https://www.southwestern.edu/jedi-center/jedi-student-organizations/asian-student-organization/,,,
Band of Pirates,,,"Our goal is to support the Southwestern community, football and beyond, by bringing energy and music to games and events.",https://www.instagram.com/su_band_of_pirates/,,,,
BEE-Co,,,"BEE-Co (Beekeeping Engagement and Education Community) is a student organization at Southwestern University (SU) where collegiate students learn how to keep honey bees, work to expand native pollinators’ habitats, and spread beneficial invertebrate ‘buzz’ through campus events. Founded in 2023, BEE-Co aims to instill life-long, pollinator-focused wildlife conservation practices within the SU community and to foster selfless relationships between students and the environment through beekeeping.",https://www.instagram.com/beesouthwestern/,https://texanbynature.org/projects/bee-co-at-southwestern-university/,,,
Black Student Union,"Friday, 6:00 pm",JEDI Center,"Our purpose is to promote unity among African Americans and the SU community; greater awareness and appreciation of the diverse African American culture by emphasizing acceptance not tolerance, and breaking stereotypes.",https://www.instagram.com/bsu.at.su/,,,,
Cat Partners,"Tuesday, 4:30 pm & Friday, 5:15",,"Our goal is to help feed, take care of, and make sure the cats are well loved across campus so that upon seeing them the students stress from education is lifted a bit, and so that the cats are happy and safe being here.",https://www.instagram.com/su_cat_partners/,https://www.southwestern.edu/life-at-southwestern/student-organizations/special-interest/cat-partners/,,,
Catholic Student Association,,,Our purpose is to promote Catholic education and provide insight about the Catholic religion to students on campus and to the Southwestern community,,,,,
Classics Club,"Friday, 5:00 pm",Mood Bridwell 136,"The SU Classics Club seeks to provide accessible information and discussion on/of classical studies to all students, involving events that reinforce confidence and understanding in this field.",https://www.instagram.com/suclassicsclub/,,,,
Coalition of Chronic Illness,"Tuesday, 6:00 pm",SLC,"Our purpose is to create a network of shared experiences amongst students in order for them to encourage and advocate for each other. Through critical conversations with professors, administrators, and students we aim to keep chronically ill students connected academically and socially.",https://www.instagram.com/suchronicillness/,,,,
College at the Stone,,,Our purpose is to provide a nurturing environment where individuals can flourish and deepen their relationship with Jesus Christ. ,,,,,
Computer Science Club,"Thursday, 6:30 pm",FJS 310,"Hi, we are Computer Science Club! We are commited to providing a safe space to play games and hang out with other computer nerds. We also act as the university's local chapter for the Association of Computing Machinery.",https://www.instagram.com/sucompsci/,,,,
